,index,grad_boost_genr_cluster_pca_like
0,1076,34.63166798657312
1,358,210.31273362451628
2,2408,50.8240584585576
3,4074,33.85466074202209
4,2998,12.490557191099043
5,1931,11.733766519108315
6,304,22.90490249722751
7,1394,37.74167097365299
8,4502,98.81560510567938
9,3860,52.88355570337441
10,2550,45.972568839277784
11,3818,54.06122529358322
12,2008,16.268898970490852
13,1869,3.6361077673986983
14,3151,80.76695568429
15,2885,10.225297182733954
16,1207,16.432751830599358
17,2634,27.569727336328867
18,1453,42.320162672627305
19,2779,48.44181022219129
20,3762,24.88656815765748
21,1239,25.80166058977173
22,2059,7.259190520569689
23,1600,22.34473376497806
24,3997,168.76617827464744
25,4500,10.473029173446598
26,1307,59.787636261380754
27,932,23.01537030002453
28,280,9.657622708099325
29,2051,43.413838933930094
30,2914,84.64401156613783
31,2854,110.97823149518331
32,3635,24.253949413395105
33,1254,111.5132707363079
34,1891,28.320718029799508
35,4217,42.860746773702004
36,2236,49.49483855605763
37,3184,16.89973713222878
38,2113,46.07792008097033
39,1795,24.21570499173336
40,295,14.528553919527837
41,243,14.507601300856322
42,1850,14.037148401199602
43,4087,5.299218283939567
44,4197,34.9247876497315
45,2727,56.01628156585846
46,1032,6.8171955764711925
47,2679,66.70991748426187
48,367,53.62903560016781
49,541,27.439793790954752
50,3312,33.5699609013561
51,1316,7.453909299296214
52,1511,60.719026995862635
53,3634,28.4719631450601
54,3822,29.80857738009611
55,3765,30.990796878098394
56,4199,11.028841147034726
57,2522,20.378443518910984
58,1367,6.787300478554982
59,4213,16.620925558935845
60,2919,108.66662722051768
61,2585,137.82065800625568
62,940,22.283778611773187
63,3323,98.69997329255668
64,519,33.51513858891349
65,2108,90.55220404752507
66,660,37.067506980013206
67,4321,28.207488661243268
68,205,4.2990483636456815
69,512,1.9739687276377254
70,2527,10.784639972725671
71,61,21.25708891258995
72,3482,12.67461960346887
73,3917,27.928427489398373
74,4327,49.389819739606615
75,1551,10.10569056210278
76,2464,64.44360278562414
77,1650,7.568728950027094
78,1553,69.79405678165247
79,921,17.627140060772376
80,693,42.65237599476788
81,3938,77.82047536302498
82,1988,3.4232994158907957
83,2076,22.248036491984493
84,2913,82.11948762706271
85,1580,17.12777841474744
86,2017,40.265825318591084
87,2224,63.72669082843288
88,3983,44.59973932305214
89,3494,44.575310573341994
90,347,21.026642140731212
91,3503,11.973516979281499
92,2093,8.344079464342173
93,421,23.370291992781745
94,3981,110.2629736234193
95,3054,73.52383342328636
96,1728,40.08775713937226
97,2923,72.41909468954839
98,1166,15.856839220814265
99,3436,78.10366741899114
100,2297,227.37976046350366
101,186,39.77621039323378
102,1400,3.7568259814410396
103,1742,46.109549671048626
104,4495,35.593522284470595
105,681,42.931997015506454
106,3108,32.60399467780144
107,385,2.4932444924641004
108,3044,22.03313768511842
109,189,17.41399346182584
110,300,96.33164517906604
111,2004,20.2773108313271
112,496,11.91293580433063
113,3277,28.66774702798466
114,1504,67.89821745375241
115,4439,1.4435692464193437
116,2559,10.466737457671854
117,1238,15.982961616317453
118,2930,24.367267098593345
119,1217,6.025716552643644
120,66,52.20278621079774
121,707,11.817858485720194
122,855,55.17905022369638
123,1353,2.9281511208284314
124,2481,79.45897052631764
125,849,15.351709538683508
126,1778,84.51948284191434
127,138,14.435507493771695
128,1253,16.040735513517262
129,1478,10.242630453475243
130,3934,42.760463767919305
131,359,6.92690008525534
132,3017,8.567320333126844
133,1929,115.5562499889979
134,3581,81.22856879992845
135,576,37.46448233715421
136,2354,6.155648164492106
137,4179,22.164580623607037
138,1422,89.87975407821119
139,503,60.546942226376075
140,983,21.245004008170014
141,3893,11.495394711524042
142,1592,2.134641971899441
143,1068,20.310825354439743
144,1930,31.664539104926035
145,103,17.128870511191565
146,2721,6.990482968362301
147,2745,44.442531029506114
148,2065,112.87708971366584
149,2516,35.55263266982229
150,2374,5.956592314587283
151,1066,28.579227525446242
152,982,0.13440643154601162
153,4134,18.997854817100276
154,1816,14.751626538571372
155,3308,58.05347290595681
156,3191,3.6543123217905418
157,4467,36.790026495131485
