,index,grad_boost_split_genre
0,1076,20.11186617981511
1,358,220.91790059408112
2,2408,46.561171148371955
3,4074,21.113821085222042
4,2998,16.555390658257352
5,1931,14.771798373954994
6,304,21.540129575827166
7,1394,29.695734192596575
8,4502,34.537786106561896
9,3860,71.86143238459661
10,2550,32.54334344417447
11,3818,11.058582329267054
12,2008,28.72803015638452
13,1869,3.7578401366921526
14,3151,74.73060595138679
15,2885,9.50865378958079
16,1207,15.348980535344964
17,2634,17.771863597509423
18,1453,38.60244009836137
19,2779,19.83642289743898
20,3762,28.727023445871623
21,1239,24.60295838105523
22,2059,28.668961046682796
23,1600,48.20995561586511
24,3997,101.05343537723388
25,4500,15.177298400926574
26,1307,53.31260887118046
27,932,37.11223935222279
28,280,19.65605921033847
29,2051,34.66429407964523
30,2914,60.50582295632711
31,2854,88.10945647565364
32,3635,14.669632781236004
33,1254,121.27752174903952
34,1891,7.926498056608835
35,4217,28.836177297402664
36,2236,55.35881905429068
37,3184,11.646993461661452
38,2113,30.395776659793114
39,1795,11.756454972951758
40,295,7.07767553963879
41,243,9.17771269597199
42,1850,15.945150836230397
43,4087,0.25217519501445906
44,4197,35.76337703652915
45,2727,39.55514886801868
46,1032,0.7620616921203123
47,2679,55.61847378832266
48,367,67.36768641380192
49,541,21.74779937392441
50,3312,41.39013618840103
51,1316,10.478290710121371
52,1511,64.51306735020569
53,3634,1.792339486926636
54,3822,60.00132660666242
55,3765,7.179049716794907
56,4199,26.87770819906543
57,2522,10.581294259707676
58,1367,3.3843388516334585
59,4213,24.754947951041025
60,2919,146.22391988496904
61,2585,121.66040495790654
62,940,6.590770403989268
63,3323,75.9275362409727
64,519,40.62574826391301
65,2108,108.04995885086731
66,660,47.83993212590747
67,4321,0.3599504072792499
68,205,8.872751165781779
69,512,12.492496610106116
70,2527,11.920145752836959
71,61,20.693837736403395
72,3482,19.26686299654716
73,3917,7.413191983883948
74,4327,43.17514298090338
75,1551,15.987327364996133
76,2464,64.41341685630039
77,1650,3.7641889466123075
78,1553,37.28049231584657
79,921,38.854660185927315
80,693,46.44835336615813
81,3938,70.28773777953647
82,1988,5.283161861834003
83,2076,30.057408807856717
84,2913,64.53749105178706
85,1580,4.290882351626436
86,2017,28.433527368074067
87,2224,49.31536720105588
88,3983,38.3877158246727
89,3494,59.3424194487128
90,347,23.006196891010745
91,3503,9.563617056635024
92,2093,4.465031724597367
93,421,40.76875568257634
94,3981,76.06723648422613
95,3054,91.06579569433589
96,1728,79.06067392771939
97,2923,68.47819334058136
98,1166,36.21960411383887
99,3436,78.68815565795526
100,2297,175.23454231956984
101,186,20.31315998834208
102,1400,11.200438394235164
103,1742,30.263822608162627
104,4495,15.653636942981848
105,681,25.259311656247974
106,3108,26.261978727521324
107,385,8.785708177776542
108,3044,22.92306315496438
109,189,32.87560448707234
110,300,55.50398478479099
111,2004,38.51948983507013
112,496,10.143944358837985
113,3277,19.51970011553297
114,1504,49.835725440237354
115,4439,14.685622700090278
116,2559,12.646242645820621
