,index,xgboost_genr_cluster_pca_like
0,1076,29.269166480127183
1,358,216.08183106280495
2,2408,63.478695975016365
3,4074,29.77419831765259
4,2998,8.715769499727486
5,1931,15.13398559518106
6,304,37.43682600519065
7,1394,16.453817727509573
8,4502,88.75818442619247
9,3860,72.47059643333631
10,2550,52.823931873728554
11,3818,76.30335849229478
12,2008,18.552183379476418
13,1869,3.2528726881519674
14,3151,68.5897429424374
15,2885,17.071229205076918
16,1207,12.506347183168145
17,2634,22.727723002454468
18,1453,41.58236739722145
19,2779,34.91811344398903
20,3762,9.727837223492344
21,1239,10.778192329710748
22,2059,0.8352627668174364
23,1600,16.01249967898795
24,3997,152.20799738893328
25,4500,4.154806730248524
26,1307,72.46854158699477
27,932,36.90109436144809
28,280,10.339309329447246
29,2051,16.284372814935637
30,2914,83.1994558691211
31,2854,78.34765933015888
32,3635,50.783339686191
33,1254,92.29595026759196
34,1891,40.359694580477054
35,4217,45.84939770656173
36,2236,74.94653216910223
37,3184,24.667401516727153
38,2113,26.880211375508793
39,1795,23.41042397084817
40,295,9.956838902520758
41,243,9.096987479054519
42,1850,38.335124884467604
43,4087,3.2733319991421297
44,4197,49.69474225377701
45,2727,52.87574027278251
46,1032,11.010115128274549
47,2679,47.00134286196675
48,367,39.48541804994102
49,541,19.830107290395233
50,3312,25.709345718975285
51,1316,17.846837172337075
52,1511,73.19871336743728
53,3634,25.772980783336294
54,3822,19.21428631768279
55,3765,2.9005597480766028
56,4199,39.22184971733337
57,2522,13.489366272654962
58,1367,10.824196165966157
59,4213,9.386436852195573
60,2919,130.66641939990018
61,2585,105.30808340504515
62,940,35.80604043993867
63,3323,91.27194377734853
64,519,22.11940175104695
65,2108,94.86644177953627
66,660,47.66257005670428
67,4321,23.773511151786757
68,205,3.3589937412616564
69,512,7.125644311854046
70,2527,8.919719114114997
71,61,4.848952312046265
72,3482,10.829049432536692
73,3917,17.853008081093492
74,4327,45.20266767353859
75,1551,10.254333085921871
76,2464,41.92700214761118
77,1650,2.443441768034262
78,1553,60.589831616952324
79,921,32.99312188048884
80,693,35.17051782725764
81,3938,86.97603146043639
82,1988,15.654483012122
83,2076,18.34750125297336
84,2913,81.12887905483504
85,1580,17.0733578252578
86,2017,33.39753273226381
87,2224,82.7497493023088
88,3983,43.77102864242027
89,3494,43.99400606588213
90,347,7.12622015533924
91,3503,16.04932594005382
92,2093,10.101042535032263
93,421,35.33443864112172
94,3981,125.86641401502229
95,3054,62.47994690408539
96,1728,52.58326080304076
97,2923,54.87512507706168
98,1166,24.21200578580698
99,3436,87.84064286705433
100,2297,237.9053458751364
101,186,42.94817915316122
102,1400,7.273774617079596
103,1742,20.181294263869802
104,4495,38.0203025554666
105,681,44.7294916798395
106,3108,41.78403062856043
107,385,11.198773507878911
108,3044,19.719988738411814
109,189,4.783821550380367
110,300,89.59288088092899
111,2004,1.9134383663419214
112,496,15.405253485188666
113,3277,6.145414284872118
114,1504,45.941507661754144
115,4439,4.494662629125671
116,2559,16.341018684270153
117,1238,3.050947197664641
118,2930,0.2775513156188367
119,1217,10.065894302910579
120,66,35.82314916577582
121,707,1.6393731441463615
122,855,36.86393954528103
123,1353,19.97092769677232
124,2481,77.17773116672805
125,849,12.207045077610928
126,1778,88.4282354831322
127,138,7.264469675388739
128,1253,21.620556533580412
129,1478,15.34782883205898
130,3934,69.29452019606154
131,359,8.485887508790881
132,3017,6.865878408329678
133,1929,128.78386700215324
134,3581,105.88824260349382
135,576,43.01673497006277
136,2354,17.459173271112206
137,4179,3.2291593740509086
138,1422,63.78872471803217
139,503,50.16356652272407
140,983,12.084155999214403
141,3893,0.7868904229676872
142,1592,21.819125592900406
143,1068,3.6467148503877524
144,1930,26.672428299364952
145,103,24.575555843968743
146,2721,1.0945095733444816
147,2745,54.98948806547898
148,2065,76.12855906470128
149,2516,27.84730406986941
150,2374,8.354308699874082
151,1066,23.26980462943925
152,982,1.1567368946996055
153,4134,19.045516707132037
154,1816,2.578364424698208
155,3308,73.42419429749172
156,3191,2.8354532851727186
157,4467,8.155034349510544
158,3939,45.08394399028677
159,2460,89.64563628364704
160,3776,54.15257850319898
161,1216,14.58517451371452
162,4346,16.31335162759899
163,1817,23.10335772062183
164,3573,10.276909140850194
165,1579,19.941328383400446
166,3274,22.12811111568425
