,index,pol_reg_genr_cluster_pca_like,y_valid
0,1076,35.804483994693015,149.06345986264625
1,358,195.51821128454554,41.968858634460666
2,2408,76.2883215293576,268.2703372103679
3,4074,60.17023768219171,82.68384001242553
4,2998,4.340422260298141,164.06913253683686
5,1931,12.650269414205354,203.77559082083457
6,304,17.58035922617455,366.4580357219875
7,1394,14.317021598093248,210.35953676467793
8,4502,91.35498052370467,83.76615334236222
9,3860,90.80324964274621,102.01625049049181
10,2550,9.143309843709005,182.83065491826363
11,3818,54.019249383530834,125.25611728135728
12,2008,17.552811880780524,150.93354629451548
13,1869,14.693059973358203,191.3882334059254
14,3151,80.93340059248337,146.56774301947667
15,2885,1.5206345126700285,180.56083796972536
16,1207,0.6639570258416825,235.17030381780842
17,2634,11.634677149438858,199.38967978956384
18,1453,23.8854718049638,172.34966995629418
19,2779,34.273707774080435,235.46140262855934
20,3762,12.400257291368433,157.55092682310172
21,1239,10.629348520354,192.5590269085705
22,2059,5.425768297449338,284.44952057931744
23,1600,24.608029163152366,204.16125761355826
24,3997,59.671352579756814,30.508799486066724
25,4500,7.259505026926959,63.22905099680226
26,1307,61.707538822718675,287.44646211922134
27,932,30.208277245363206,253.62154968152066
28,280,0.36004567983457036,353.2976528353066
29,2051,41.429448140764066,312.5098977172794
30,2914,52.02574494644756,335.12891448728516
31,2854,120.39551823279379,445.1040069864089
32,3635,0.6058896850603048,191.2840889026762
33,1254,101.50399017659004,93.03844609471273
34,1891,51.20703469544742,153.12057580526513
35,4217,11.003576809155033,15.60667986912186
36,2236,35.06314322601898,273.4847859532819
37,3184,31.043368390523767,203.0129215362584
38,2113,31.26591486865229,225.56467487648536
39,1795,47.08959948870998,270.56118080678567
40,295,17.5817434352183,262.6597077283386
41,243,4.5262067173263745,314.9527919224139
42,1850,10.352360708330707,221.40076819501448
43,4087,20.516265331828492,49.70803582604643
44,4197,26.91666144632758,75.56368059778549
45,2727,35.85577259823819,117.59020211002999
46,1032,1.022703353243969,286.4980330650848
47,2679,54.60348484715965,303.5740052154824
48,367,26.013271832042406,68.75378635679726
49,541,33.21392238689546,277.8770433255515
50,3312,28.40802513636821,85.10149870241143
51,1316,7.417463567266822,225.9348346088605
52,1511,57.53587631637765,321.8836804084529
53,3634,21.208289393644634,213.9114848116566
54,3822,37.831681548942726,94.74430895819611
55,3765,27.258176969675105,264.7843182929985
56,4199,44.39108462156416,86.4980032817865
57,2522,45.186929560393054,226.3472426140638
58,1367,19.115455007109574,250.85939819233334
59,4213,13.178324885181041,52.028271111228776
60,2919,215.85570926845534,293.42171419970487
61,2585,43.67198327481864,41.792731414290785
62,940,51.359922097196204,248.61945596728242
63,3323,123.98905592633642,33.02683857128428
64,519,46.73903343680928,246.20774668645305
65,2108,99.57641460148574,267.25898938695815
66,660,59.38721212840977,223.5759248163426
67,4321,49.96751528941969,58.263613482002306
68,205,0.368926339869347,359.72532674907416
69,512,18.12568522521164,260.08196677213033
70,2527,7.066439618179345,209.75945605259156
71,61,3.4562261445356626,344.24223234134314
72,3482,22.46752838559803,216.76433690812263
73,3917,55.15370726150354,81.49023837886745
74,4327,56.387107920937915,18.66825822978172
75,1551,53.98075593973539,270.670135087875
76,2464,40.69231986480048,355.10299702065805
77,1650,9.546145182550191,203.67667541946574
78,1553,72.4471221223543,262.4006378913664
